Clave,Programa Academico,Area Academica,Escuela
MGN17V,Maestría en Administración Empresarial,Negocios,Negocios
MBA09,Maestría en Administración y Dirección de Empresas,Negocios,Negocios
MBA09G,Maestría en Administración y Dirección de Empresas,Negocios,Negocios
MBA15,Maestría en Administración y Dirección de Empresas,Negocios,Negocios
MBA17G,Maestría en Administración y Dirección de Empresas,Negocios,Negocios
MBA17I,Maestría en Administración y Dirección de Empresas,Negocios,Negocios
MBA20,Maestría en Administración y Dirección de Empresas,Negocios,Negocios
MBD21,Maestría en Analítica de Negocios,Negocios,Negocios
MAF09,Maestría en Finanzas,Negocios,Negocios
MAF09V,Maestría en Finanzas,Negocios,Negocios
MAF15,Maestría en Finanzas,Negocios,Negocios
MAF20,Maestría en Finanzas,Negocios,Negocios
MAF20V,Maestría en Finanzas,Negocios,Negocios
MMT09,Maestría en Mercadotecnia,Negocios,Negocios
MIB05,Maestría en Negocios Internacionales,Negocios,Negocios
NEG17,Negocios / Exploración,Negocios,Negocios
NEG19,Negocios / Exploración,Negocios,Negocios
AEP07,No se encontro,No aplica,No Aplica
INQ13,No se encontro,No aplica,No Aplica
PBU07,Bachillerato Único,Prepa Tec,Prepa Tec
PBB07,Prepa Tec Bicultural,Prepa Tec,Prepa Tec
PBB12,Prepa Tec Bicultural,Prepa Tec,Prepa Tec
PBB14,Prepa Tec Bicultural,Prepa Tec,Prepa Tec
PTB07,Prepa Tec Bilingüe,Prepa Tec,Prepa Tec
PTI14,Prepa Tec Intercultural,Prepa Tec,Prepa Tec
PBI07,Prepa Tec Internacional,Prepa Tec,Prepa Tec
PBI14,Prepa Tec Internacional,Prepa Tec,Prepa Tec
PHS12,Prepa Tec Multicultural,Prepa Tec,Prepa Tec
PTM10,Prepa Tec Multicultural,Prepa Tec,Prepa Tec
PTM11,Prepa Tec Multicultural,Prepa Tec,Prepa Tec
PTM14,Prepa Tec Multicultural,Prepa Tec,Prepa Tec
PRT19D,Prepa Tec21,Prepa Tec,Prepa Tec
IPU05,Programas Internacionales (Profesional),Programas Internacionales,Internacionalización
RAP13,Especialidad en Anatomía Patológica,Salud,Salud
REC13,Especialidad en Cirugía General,Salud,Salud
RGE13,Especialidad en Geriatría,Salud,Salud
REG13,Especialidad en Ginecología y Obstetricia,Salud,Salud
REM13,Especialidad en Medicina Interna,Salud,Salud
REO13,Especialidad en Oftalmología,Salud,Salud
REN13,Especialidad en Pediatría,Salud,Salud
RPS13,Especialidad en Psiquiatría,Salud,Salud
RUR13,Especialidad en Urología,Salud,Salud
LNB11,Licenciatura en Nutrición y Bienestar Integral,Salud,Salud
LNB19,Licenciatura en Nutrición y Bienestar Integral,Salud,Salud
LP 12,Licenciatura en Psicología,Salud,Salud
LPS12,Licenciatura en Psicología Clínica y de la Salud,Salud,Salud
LPS19,Licenciatura en Psicología Clínica y de la Salud,Salud,Salud
MC 05,Médico Cirujano,Salud,Salud
MC 11,Médico Cirujano,Salud,Salud
MC 19,Médico Cirujano,Salud,Salud
MO 11,Médico Odontologo,Salud,Salud
MO 19,Médico Odontologo,Salud,Salud
SLD17,Salud / Exploración,Salud,Salud
SLD19,Salud / Exploración,Salud,Salud
